"TRS_DT","LOC_NO","DIV_NO","net_sales","net_units","pa_sales","pa_units","pam_sales","pam_units","total_markdowns","avg_ticket_amt","avg_ticket_units","lease_sales","lease_units","kenmore_net_sale","craftsman_net_sale","diehard_net_sale","kenmore_net_units","craftsman_net_units","diehard_net_units","pos_source_system","trs_dt_sk_id","gross_profit","reject_reason"
"2017-01-29","9299","26","545.48000000000002","2","233.99000000000001","1","526.49000000000001","1","123.5","526.49000000000001","1","0","0","18.989999999999998","0","0","1","0","0","T","20170129","","Unable to find POS in dim.location9299"
"2017-01-29","9299","46","1939.52","4","341.99000000000001","1","1928.54","3","2321.4299999999998","1928.54","3","0","0","1928.54","0","0","3","0","0","T","20170129","","Unable to find POS in dim.location9299"
"2017-01-29","9299","82","868.49000000000001","2","0","0","0","0","1131.5","0","0","0","0","0","0","0","0","0","0","T","20170129","","Unable to find POS in dim.location9299"
"2017-01-29","9935","22","964.98000000000002","2","0","0","0","0","155","0","0","0","0","19.989999999999998","0","0","1","0","0","T","20170129","","Unable to find POS in dim.location9935"
"2017-01-29","9935","26","6018.8100000000004","22","486.47000000000003","3","5653.8599999999997","10","2618.2399999999998","5653.8599999999997","10","0","0","3388.21","0","0","16","0","0","T","20170129","","Unable to find POS in dim.location9935"
"2017-01-29","9935","46","1071.1700000000001","2","0","0","1060.1900000000001","1","1439.8","1060.1900000000001","1","0","0","1060.1900000000001","0","0","1","0","0","T","20170129","","Unable to find POS in dim.location9935"
"2017-01-29","9937","20","125.98999999999999","1","0","0","0","0","24","0","0","0","0","125.98999999999999","0","0","1","0","0","T","20170129","","Unable to find POS in dim.location9937"
"2017-01-29","9937","22","882.98000000000002","2","170.09","1","854.99000000000001","1","345","854.99000000000001","1","0","0","882.98000000000002","0","0","2","0","0","T","20170129","","Unable to find POS in dim.location9937"
"2017-01-29","9937","26","1739.04","7","269.98000000000002","2","1682.0699999999999","4","1127.8900000000001","1682.0699999999999","4","0","0","1271.9400000000001","0","0","6","0","0","T","20170129","","Unable to find POS in dim.location9937"
"2017-01-29","9937","46","3919.96","4","478.77999999999997","2","3919.96","4","2690","3919.96","4","2214.0799999999999","2","3919.96","0","0","4","0","0","T","20170129","","Unable to find POS in dim.location9937"
"2017-01-30","1741","46","49.990000000000002","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","T","20170130","","Unable to find POS in dim.location1741"
"2017-01-30","1803","6","-202.69","-1","0","0","0","0","-197.30000000000001","0","0","0","0","0","0","0","0","0","0","T","20170130","","Unable to find POS in dim.location1803"
"2017-01-30","1803","26","-60","0","0","0","-60","0","0","-60","0","0","0","-60","0","0","0","0","0","T","20170130","","Unable to find POS in dim.location1803"
"2017-01-30","1928","46","49.979999999999997","1","0","0","0","0","0","0","0","0","0","49.979999999999997","0","0","1","0","0","T","20170130","","Unable to find POS in dim.location1928"
"2017-01-30","1936","22","309.99000000000001","1","49.990000000000002","1","309.99000000000001","1","40","309.99000000000001","1","0","0","0","0","0","0","0","0","T","20170130","","Unable to find POS in dim.location1936"
"2017-01-30","1936","26","1650.7","4","209.99000000000001","1","1581.73","2","608.25","1581.73","2","0","0","1650.7","0","0","4","0","0","T","20170130","","Unable to find POS in dim.location1936"
"2017-01-30","1936","46","2189.9200000000001","6","0","0","1994.99","1","205","1994.99","1","0","0","83.980000000000004","0","0","2","0","0","T","20170130","","Unable to find POS in dim.location1936"
"2017-01-30","1937","9","16","1","0","0","0","0","23.989999999999998","0","0","0","0","0","16","0","0","1","0","T","20170130","","Unable to find POS in dim.location1937"
"2017-01-30","1937","20","15.99","1","0","0","0","0","0","0","0","0","0","15.99","0","0","1","0","0","T","20170130","","Unable to find POS in dim.location1937"
"2017-01-30","1937","22","7.9800000000000004","1","0","0","0","0","0","0","0","0","0","7.9800000000000004","0","0","1","0","0","T","20170130","","Unable to find POS in dim.location1937"
"2017-01-30","1937","26","3180.9200000000001","7","314.98000000000002","2","3079.96","4","1020","3079.96","4","1190.73","2","2080.9400000000001","0","0","5","0","0","T","20170130","","Unable to find POS in dim.location1937"
"2017-01-30","1937","46","1039.98","2","307.79000000000002","1","989.99000000000001","1","1110","989.99000000000001","1","1071.6700000000001","1","989.99000000000001","0","0","1","0","0","T","20170130","","Unable to find POS in dim.location1937"
"2017-01-30","2559","9","449.97000000000003","3","0","0","0","0","450","0","0","0","0","0","0","0","0","0","0","T","20170130","","Unable to find POS in dim.location2559"
"2017-01-30","2559","22","3682.9099999999999","3","0","0","3682.9099999999999","3","1219.8499999999999","3682.9099999999999","3","0","0","122.41","0","0","1","0","0","T","20170130","","Unable to find POS in dim.location2559"
"2017-01-30","2559","26","14.51","-1","0","0","90.980000000000004","1","30.510000000000002","60.990000000000002","0","0","0","-76.469999999999999","0","0","-2","0","0","T","20170130","","Unable to find POS in dim.location2559"
"2017-01-30","2559","46","602.99000000000001","1","0","0","602.99000000000001","1","497","602.99000000000001","1","0","0","602.99000000000001","0","0","1","0","0","T","20170130","","Unable to find POS in dim.location2559"
"2017-01-30","3015","20","164.99000000000001","1","0","0","0","0","65","0","0","0","0","164.99000000000001","0","0","1","0","0","T","20170130","","Unable to find POS in dim.location3015"
"2017-01-30","3015","26","407.92000000000002","2","0","0","372.93000000000001","1","567.05999999999995","372.93000000000001","1","0","0","407.92000000000002","0","0","2","0","0","T","20170130","","Unable to find POS in dim.location3015"
"2017-01-30","3015","46","138.97","3","0","0","0","0","0","0","0","0","0","138.97","0","0","3","0","0","T","20170130","","Unable to find POS in dim.location3015"
"2017-01-30","3792","22","189.99000000000001","1","0","0","189.99000000000001","1","10","189.99000000000001","1","0","0","0","0","0","0","0","0","T","20170130","","Unable to find POS in dim.location3792"
"2017-01-30","3792","26","3739.3899999999999","9","659.97000000000003","3","3557.46","4","792.5","3557.46","4","0","0","1419.4200000000001","0","0","6","0","0","T","20170130","","Unable to find POS in dim.location3792"
"2017-01-30","3792","46","693.96000000000004","3","0","0","579.99000000000001","1","370","579.99000000000001","1","0","0","693.96000000000004","0","0","3","0","0","T","20170130","","Unable to find POS in dim.location3792"
"2017-01-30","4973","22","-650.98000000000002","-2","0","0","-620.99000000000001","-1","-479","-620.99000000000001","-1","0","0","-650.98000000000002","0","0","-2","0","0","T","20170130","","Unable to find POS in dim.location4973"
"2017-01-30","4973","46","-1259.99","-1","0","0","-1259.99","-1","-870","-1259.99","-1","0","0","-1259.99","0","0","-1","0","0","T","20170130","","Unable to find POS in dim.location4973"
"2017-01-30","4973","71","239.99000000000001","1","0","0","239.99000000000001","1","40","0","0","0","0","0","239.99000000000001","0","0","1","0","T","20170130","","Unable to find POS in dim.location4973"
"2017-01-30","5056","46","88.980000000000004","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","T","20170130","","Unable to find POS in dim.location5056"
"2017-01-30","5064","22","747.98000000000002","2","219.99000000000001","1","719.99000000000001","1","180","719.99000000000001","1","813.42999999999995","2","747.98000000000002","0","0","2","0","0","T","20170130","","Unable to find POS in dim.location5064"
"2017-01-30","5064","26","1874.1300000000001","8","1185.96","4","1734.22","2","1327.3","1734.22","2","0","0","107.52","0","0","5","0","0","T","20170130","","Unable to find POS in dim.location5064"
"2017-01-30","5064","46","903.15999999999997","3","1021.98","2","843.28999999999996","1","1537.8","843.28999999999996","1","0","0","843.28999999999996","0","0","1","0","0","T","20170130","","Unable to find POS in dim.location5064"
