"TRS_DT","LOC_NO","net_sales","net_units","pa_sales","pa_units","pam_sales","pam_units","total_markdowns","avg_ticket_amt","avg_ticket_units","lease_sales","lease_units","spp_sales","spp_merch_sales","bulk_sales","bulk_units","sears_credit_sales","other_credit_sales","kenmore_net_sale","craftsman_net_sale","diehard_net_sale","kenmore_net_units","craftsman_net_units","diehard_net_units","pos_source_system","trs_dt_sk_id","reject_reason"
"2017-06-02","9937","3567.1300000000001","14","198.99000000000001","1","2788.21","5","2961.7399999999998","2788.21","5","0","8","0","0","0","0","3677.1799999999998","4697.3199999999997","2877.1700000000001","0","0","9","0","0","T","20170602","Unable to find POS in dim.location9937"
"2017-06-02","9958","14612.960000000001","28","1049.97","3","14292.66","14","12229.699999999999","14292.66","14","0","0","0","0","0","0","12145.950000000001","17493.639999999999","11252.440000000001","0","0","18","0","0","T","20170602","Unable to find POS in dim.location9958"
"2017-06-03","1741","3783.6200000000003","13","895.95000000000005","5","2971.4399999999996","4","1520.22","2971.4399999999996","4","0","0","0","0","0","0","4198.3000000000002","5364.25","922.89999999999998","0","0","7","0","0","T","20170603","Unable to find POS in dim.location1741"
"2017-06-03","1803","-650.94000000000005","1","-60","0","-700.92000000000007","0","-29.089999999999975","-700.92000000000007","0","0","0","0","0","0","0","0","-637.15999999999997","458.98000000000002","0","0","2","0","0","T","20170603","Unable to find POS in dim.location1803"
"2017-06-03","1928","11707.769999999999","22","1919.95","5","11445.9","13","7663.9699999999993","11255.91","12","0","0","28.5","0","0","0","11030.709999999999","14774.82","11635.829999999998","0","0","19","0","0","T","20170603","Unable to find POS in dim.location1928"
"2017-06-03","1936","4076.8499999999995","12","395.98000000000002","2","3708.54","5","3073.0099999999998","3708.54","5","0","0","19.5","129.99000000000001","0","0","4895.6199999999999","5498.2299999999996","3394.5799999999999","0","0","9","0","0","T","20170603","Unable to find POS in dim.location1936"
"2017-06-03","1937","3407.0700000000002","13","39.990000000000002","1","2768.2399999999998","4","2322.0299999999997","2312.25","3","0","0","0","0","0","0","292.19","3451.9099999999999","2416.2200000000003","455.99000000000001","0","6","1","0","T","20170603","Unable to find POS in dim.location1937"
"2017-06-03","2559","9630.4099999999999","16","0","0","9551.4899999999998","11","7318.3999999999996","9551.4899999999998","11","0","0","0","0","0","0","3662.25","10692.139999999999","9547.4799999999996","0","0","12","0","0","T","20170603","Unable to find POS in dim.location2559"
"2017-06-03","3792","3544.8299999999999","6","0","0","3087.98","2","1710.1199999999999","3087.98","2","0","0","0","153.99000000000001","0","0","0","3735.1599999999999","-374.00999999999999","153.99000000000001","0","0","1","0","T","20170603","Unable to find POS in dim.location3792"
"2017-06-03","4973","7858.79","18","389.99000000000001","1","7587.8799999999992","11","5100.0299999999997","7587.8799999999992","11","882.88","3","0","0","0","0","1038.77","9144.9599999999991","5836.9099999999999","0","0","12","0","0","T","20170603","Unable to find POS in dim.location4973"
"2017-06-03","5056","11902.5","27","2707.9000000000001","10","11285.679999999998","13","8037.2399999999998","11285.679999999998","13","0","0","0","0","0","0","15148.35","15738.360000000001","3347.3800000000001","0","0","13","0","0","T","20170603","Unable to find POS in dim.location5056"
"2017-06-03","5064","9312.6600000000017","23","1548.9400000000001","6","7331.2000000000007","10","6023.0699999999997","8658.6900000000005","11","0","0","0","0","0","0","1951.8699999999999","12351.92","6594.1999999999989","0","0","16","0","0","T","20170603","Unable to find POS in dim.location5064"
"2017-06-03","6901","7770.2299999999996","17","588.99000000000001","2","5939.3900000000003","6","5860.54","5939.3900000000003","6","0","0","0","0","0","0","927.17999999999995","9025.6700000000001","1296.9100000000001","0","0","8","0","0","T","20170603","Unable to find POS in dim.location6901"
"2017-06-03","9299","4148.5500000000002","9","467.97000000000003","3","2271.0900000000001","4","3477.3800000000001","2271.0900000000001","4","0","0","0","0","0","0","5096.0299999999997","5139.5100000000002","2287.0799999999999","0","0","5","0","0","T","20170603","Unable to find POS in dim.location9299"
"2017-06-03","9935","6385.8599999999997","23","589.99000000000001","1","5448.0500000000002","7","4926.8799999999992","4323.9499999999998","6","670.04999999999995","2","0","0","0","0","2512.4299999999998","6189.2600000000002","4778.8299999999999","0","0","18","0","0","T","20170603","Unable to find POS in dim.location9935"
"2017-06-03","9937","185.06999999999999","0","0","0","148.00999999999999","1","-181.06999999999999","148.00999999999999","1","0","0","0","0","0","0","-227.59999999999999","239.02000000000001","204.99000000000001","0","0","2","0","0","T","20170603","Unable to find POS in dim.location9937"
"2017-06-03","9958","14886.150000000001","42","828.97000000000003","3","14087.470000000001","23","8820.369999999999","12482.5","20","0","0","0","0","0","0","10840.610000000001","13629.52","7698.3199999999997","0","0","25","0","0","T","20170603","Unable to find POS in dim.location9958"
"2017-06-04","1741","12198.519999999999","25","2197.9099999999999","9","11537.57","13","7384.1999999999989","11276.58","12","0","0","0","0","0","0","11782.5","16203.93","6908.1000000000004","0","0","18","0","0","T","20170604","Unable to find POS in dim.location1741"
"2017-06-04","1803","2858.9299999999998","7","0","0","2723.98","4","1265.98","2723.98","4","0","0","0","0","0","0","1493.4400000000001","3162.8699999999999","1414.95","0","0","4","0","0","T","20170604","Unable to find POS in dim.location1803"
"2017-06-04","1928","3049.96","4","349.99000000000001","1","3018.9899999999998","2","960.99000000000001","3018.9899999999998","2","0","0","0","0","0","0","189.05000000000001","4005.2399999999998","1138.99","0","0","2","0","0","T","20170604","Unable to find POS in dim.location1928"
"2017-06-04","1936","5181.7699999999995","12","709.97000000000003","3","5057.0600000000004","5","3386.0700000000002","5057.0600000000004","5","0","0","0","0","0","0","4415.3000000000002","6729.0900000000001","4514.0199999999995","0","0","8","0","0","T","20170604","Unable to find POS in dim.location1936"
"2017-06-04","1937","5103.7700000000004","16","0","0","4767.9499999999998","6","3557.04","4767.9499999999998","6","0","0","0","0","0","0","2557.7800000000002","5554.21","5042.7999999999993","0","0","14","0","0","T","20170604","Unable to find POS in dim.location1937"
"2017-06-04","2559","2278.9300000000003","6","0","0","2198.98","3","1660.99","2198.98","3","0","0","0","0","0","0","0","2517.0300000000002","2267.9499999999998","0","0","5","0","0","T","20170604","Unable to find POS in dim.location2559"
"2017-06-04","3792","3960.8800000000001","13","1033.97","3","3738.9499999999998","6","2060.9899999999998","3718.96","5","0","0","0","0","0","0","2021.76","5704.9799999999996","3111.9099999999999","0","0","10","0","0","T","20170604","Unable to find POS in dim.location3792"
"2017-06-04","4973","8000.3700000000008","11","875.37999999999988","4","7880.4099999999999","8","6449.5100000000002","7880.4099999999999","8","0","0","0","0","0","0","5279.2200000000003","10499.860000000001","7470.3899999999994","0","0","9","0","0","T","20170604","Unable to find POS in dim.location4973"
"2017-06-04","5056","2305.54","7","89.989999999999995","1","2245.5699999999997","5","2129.4300000000003","2245.5699999999997","5","0","0","0","0","0","0","1388.8599999999999","2635.0100000000002","2555.54","0","0","7","0","0","T","20170604","Unable to find POS in dim.location5056"
"2017-06-04","5064","6607.8000000000002","18","512.97000000000003","3","6324.9399999999996","8","4244.9799999999996","5984.9499999999998","7","0","0","0","0","0","0","6686.0799999999999","7740.8000000000002","4159.8499999999995","0","0","12","0","0","T","20170604","Unable to find POS in dim.location5064"
"2017-06-04","6901","6228.4099999999999","13","899.98000000000002","2","6097.5","7","5082.4300000000003","5907.5100000000002","6","0","0","0","0","0","0","4517.8500000000004","8082.1700000000001","4198.8800000000001","0","0","11","0","0","T","20170604","Unable to find POS in dim.location6901"
"2017-06-04","9299","3611.3400000000001","10","644.72000000000003","3","2202.4099999999999","4","3766.5599999999999","2202.4099999999999","4","0","0","0","0","0","0","297.63999999999999","4820.1999999999998","2504.4499999999998","0","0","6","0","0","T","20170604","Unable to find POS in dim.location9299"
"2017-06-04","9935","851.94000000000005","4","0","0","809.00999999999999","0","935.99000000000001","999","1","0","0","0","0","0","0","1093.3","784.80999999999995","741","0","0","1","0","0","T","20170604","Unable to find POS in dim.location9935"
"2017-06-04","9937","4337.3900000000003","11","269.99000000000001","1","3546.4400000000001","6","3560.5","2968.8600000000001","4","0","0","0","0","0","0","3721.1399999999999","4147.7200000000003","3154.4099999999999","0","0","8","0","0","T","20170604","Unable to find POS in dim.location9937"
"2017-06-04","9958","2773.96","6","349.99000000000001","1","2703.9899999999998","4","1975.97","2703.9899999999998","4","0","0","0","0","0","0","3710.0700000000002","3710.0700000000002","2773.96","0","0","6","0","0","T","20170604","Unable to find POS in dim.location9958"
"2017-06-05","1741","5837.2200000000003","7","-129.99000000000001","-1","5685.2700000000004","4","2254.6899999999996","3435.2800000000002","3","0","0","0","129.99000000000001","0","0","-826.64999999999998","5088.8299999999999","3029.96","0","0","4","0","0","T","20170605","Unable to find POS in dim.location1741"
"2017-06-05","1803","1044.99","1","289.99000000000001","1","1044.99","1","735","1044.99","1","0","0","0","0","0","0","893.38","893.38","1044.99","0","0","1","0","0","T","20170605","Unable to find POS in dim.location1803"
"2017-06-05","1928","1594.9300000000001","8","249.99000000000001","1","619.98000000000002","2","1804","619.98000000000002","2","0","0","0","153.99000000000001","0","0","3335.5999999999999","2042.78","2609.9399999999996","253.97999999999999","0","6","2","0","T","20170605","Unable to find POS in dim.location1928"
"2017-06-05","1936","3481.6599999999999","13","0","0","3007.7200000000003","4","976.18999999999994","2902.2800000000002","3","0","0","27.07","180.49000000000001","0","0","3410.6799999999998","4100.3199999999997","863.48000000000002","0","0","5","0","0","T","20170605","Unable to find POS in dim.location1936"
"2017-06-05","1937","6255.6299999999992","31","439.99000000000001","1","5275.8599999999997","8","3157.0099999999998","5275.8599999999997","8","0","0","0","359.98000000000002","0","0","168.59999999999999","7522.9300000000003","6124.7200000000003","0","0","23","0","0","T","20170605","Unable to find POS in dim.location1937"
