Inactive,Close Date,Location Desc,Format,Ownership Type,Name (no hierarchy),POS Number,EIS Number,Region,District,District Manager Name,City,State/Province,Zip,Address 1,Address 2,Latitude,Longitude,Open Date,Change of Owner / Takeover Date,Franchisee / Dealer,Location Type,Issue Date,Expiration Date
No,3/31/2017,"AHS - Houston,TX",AHS,,5457,5457,5457,9041,311,,Houston,TX,77095,8475 Highway 6 North,,,,,,,Retail,,
No,4/29/2017,"HTS - Sikeston,MO",HTS,,5458,3040,5458,9039,207,,Sikeston,MO,63801,1016 Linn Street,,,,,,,Retail,,
No,3/31/2017,"HTS - Hastings,NE",HTS,,5465,3050,5465,9052,118,,Hastings,NE,68901,930 South Burlington,Suite 100,,,,,,Retail,,
No,9/27/2016,"AHS - Allison Park,PA",AHS,,5474,5474,5474,9041,314,,Allison Park,PA,15101,4706 Route 8,,,,,,,Retail,,
No,12/30/2017,"AHS - Shelton,CT",AHS,Company,5484,5484,5484,9041,321,,Shelton,CT,06484,705 Bridgeport Ave,,41.275882,-73.124726,,1/1/2017,,Retail,,
No,7/29/2017,"HTS - Kirksville,MO",HTS,,5489,3072,5489,9052,385,,Kirksville,MO,63501,2216 South Baltimore,,,,,,,Retail,,
No,5/31/2017,"AHS - Loveland,OH",AHS,,5502,5502,5502,9041,306,,Loveland,OH,45140,3990 US 22 & 3,,,,,,,Retail,,
No,7/29/2017,"HTS - Le Mars,IA",HTS,,5503,3092,5503,9052,120,,Le Mars,IA,51031,26 1st Avenue SW,,,,,,,Retail,,
No,1/20/2018,"HTS - Ringoes,NJ",HTS,Transition,5512,3103,5512,9042,382,,Ringoes,NJ,08551,176 Highway 202,,40.479004,-74.862585,,8/8/2017,,Retail,,
No,12/4/2017,"HTS - Pekin,IL",HTS,Company,5543,5543,5543,9042,393,,Pekin,IL,61554,3247 Court Street,Suite A,40.547482,-89.602835,,,,Retail,,
No,7/31/2016,"HTS - Hamonton,NJ",HTS,,5547,3143,5547,9042,363,,Hamonton,,,,,,,,,,Retail,,
No,7/29/2017,"HTS - Madison,IN",HTS,,5559,3152,5559,9039,220,,Madison,IN,47250,746 Jefferson Ct,,,,,,,Retail,,
