Location Store,Location,Format,Ownership Type,Name (no hierarchy),POS Number,EIS Number,Region,District,District Manager Name,City,State/Province,Zip,Address 1,Address 2,Latitude,Longitude,Open Date,Change of Owner / Takeover Date,Franchisee / Dealer,Location Type,Issue Date,Expiration Date
"Berryville, AR (1934)","Berryville, AR",HTS,Owner,1934,1934,1934,9029,385,,Berryville,AR,72616,322 Eureka Street,,36.367999,-93.571287,,,,Retail,,
"Cassville, MO (7721)","Cassville, MO",HTS,Owner,7721,7721,7721,9029,385,,Cassville,MO,65625,99 Highway 37 South,,36.666575,-93.887229,,,,Retail,,
"Pittsburg, KS (3062)","Pittsburg, KS",HTS,Transition,3062,3062,3062,9029,385,,Pittsburg,KS,66762,2524 North Broadway,,37.431641,-94.703726,,7/30/2017,,Retail,,
"Parsons, KS (5778)","Parsons, KS",HTS,Owner,5778,3318,5778,9029,385,,Parsons,KS,67357,302 E. Main Street,,37.340286,-95.235779,,2/26/2017,,Retail,,
"Ava, MO (3799)","Ava, MO",HTS,Owner,3799,3799,3799,9029,385,,Ava,MO,65608,1101 NW 12th Avenue,,36.961216,-92.671165,,,,Retail,,
"Grove, OK (5449)","Grove, OK",HTS,Owner,5449,3028,5449,9039,219,,Grove,OK,74344,1717 S Broadway,,36.578365,-94.771525,,2/26/2012,,Retail,,
"Aurora, MO (5466)","Aurora, MO",HTS,Owner,5466,3051,5466,9029,385,,Aurora,MO,65605,3100 S Elliot Avenue,Suite #104,36.945431,-93.71902,,2/3/2008,,Retail,,
"Independence, KS (5495)","Independence, KS",HTS,Owner,5495,3082,5495,9029,385,,Independence,KS,67301,300 North Penn,,37.22566,-95.70641,,8/2/1998,,Retail,,
"Harrison, AR (5528)","Harrison, AR",HTS,Owner,5528,3127,5528,9040,219,,Harrison,AR,72601,1320 North Main Street,,36.24556,-93.11722,,10/27/2002,,Retail,,
"Mountain Home, AR (5554)","Mountain Home, AR",HTS,Owner,5554,3147,5554,9040,219,,Mountain Home,AR,72653,1029 Highway 62 East,,36.351494,-92.367176,,7/4/2004,,Retail,,
"Rogers, AR (5713)","Rogers, AR",HTS,Owner,5713,3229,5713,9029,385,,Rogers,AR,72756,100 N 8th Street,,36.334143,-94.126271,,1/1/2014,,Retail,,
"West Plains, MO (5747)","West Plains, MO",HTS,Owner,5747,3272,5747,9040,219,,West Plains,MO,65775,1347 Southern Hills,,36.716528,-91.87203,,10/5/2014,,Retail,,
"Warrensburg, MO (3342)","Warrensburg, MO",HTS,Owner,3342,3342,3342,9029,385,,Warrensburg,MO,64093,703 East Young Street,,38.772779,-93.718903,,6/3/2007,,Retail,,
"Brookfield, MO (3400)","Brookfield, MO",HTS,Owner,3400,3400,3400,9039,385,,Brookfield,MO,64628,111 E Boston,,39.786078,-93.073691,,4/4/2004,,Retail,,
"Bolivar, MO (3700)","Bolivar, MO",HTS,Owner,3700,3700,3700,9029,385,,Bolivar,MO,65613,3151 S Springfield Avenue,,37.585099,-93.40025,,1/2/2016,,Retail,,
"Cameron, MO (3889)","Cameron, MO",HTS,Owner,3889,3889,3889,9029,201,,Cameron,MO,64429,2101 North Walnut,,39.761063,-94.235011,,2/3/2008,,Retail,,
"Clinton, MO (3902)","Clinton, MO",HTS,Owner,3902,3902,3902,9029,385,,Clinton,MO,64735,743 E Gaines Drive,,38.388822,-93.762771,,9/30/2001,,Retail,,
"Osage Beach, MO (3762)","Osage Beach, MO",HTS,Owner,3762,3762,3762,9029,385,,Osage Beach,MO,65065,3629 Osage Beach Parkway,,38.166844,-92.611585,,11/27/2011,,Retail,,
